Timestamp (UNIX time ms),Timestamp,Active (T/F),Latitude (deg),Longitude (deg),Heartrate (bpm),Speed (mps),Distance (m),Crank Cadence (rpm),Run Cadence (steps/min),Elevation (m),Power (watts),
1549905412000,11:16:52:016,true,,,,4.084000110626221,0.0,74.00000095367432,74.00000095367432,,,
1549905413000,11:16:53:016,true,,,,4.170000076293945,1.3700000047683716,74.00000095367432,74.00000095367432,,,
1549905414000,11:16:54:016,true,,,,4.235000133514404,4.119999885559082,79.00000333786011,79.00000333786011,,,
1549905415000,11:16:55:016,true,,,,4.560999870300293,8.710000038146973,81.00000143051147,81.00000143051147,,,
1549905416000,11:16:56:016,true,,,,4.9629998207092285,13.510000228881836,90.99999904632568,90.99999904632568,,,
1549905417000,11:16:57:016,true,,,,4.813000202178955,18.309999465942383,90.0,90.0,,,
1549905418000,11:16:58:016,true,,,,4.78000020980835,23.940000534057617,89.00000095367432,89.00000095367432,,,
1549905419000,11:16:59:016,true,,,,4.77400016784668,28.100000381469727,89.00000095367432,89.00000095367432,,,
1549905420000,11:17:00:017,true,,,,4.747000217437744,32.939998626708984,89.00000095367432,89.00000095367432,,,
1549905421000,11:17:01:017,true,,,,4.802999973297119,38.61000061035156,89.00000095367432,89.00000095367432,,,
1549905422000,11:17:02:017,true,,,,4.814000129699707,42.79999923706055,90.0,90.0,,,
1549905423000,11:17:03:017,true,,,,4.8429999351501465,47.72999954223633,90.0,90.0,,,
1549905424000,11:17:04:017,true,,,,4.853000164031982,53.2599983215332,90.0,90.0,,,
1549905425000,11:17:05:017,true,,,,4.894999980926514,57.45000076293945,90.99999904632568,90.99999904632568,,,
1549905426000,11:17:06:017,true,,,,4.86899995803833,61.650001525878906,90.0,90.0,,,
1549905427000,11:17:07:017,true,,,,4.874000072479248,66.69999694824219,90.0,90.0,,,
1549905428000,11:17:08:017,true,,,,4.914999961853027,72.72000122070313,90.99999904632568,90.99999904632568,,,
1549905429000,11:17:09:017,true,,,,4.876999855041504,76.80999755859375,90.99999904632568,90.99999904632568,,,
1549905430000,11:17:10:017,true,,,,4.8460001945495605,81.48999786376953,90.0,90.0,,,
1549905431000,11:17:11:017,true,,,,4.808000087738037,86.80999755859375,90.0,90.0,,,
1549905432000,11:17:12:017,true,,,,4.801000118255615,91.37999725341797,89.00000095367432,89.00000095367432,,,
1549905433000,11:17:13:017,true,,,,4.834000110626221,96.18000030517578,90.0,90.0,,,
1549905434000,11:17:14:017,true,,,,4.873000144958496,100.87999725341797,90.99999904632568,90.99999904632568,,,
1549905435000,11:17:15:017,true,,,,4.928999900817871,106.63999938964844,91.99999809265137,91.99999809265137,,,
1549905436000,11:17:16:017,true,,,,4.9079999923706055,110.83000183105469,90.99999904632568,90.99999904632568,,,
1549905437000,11:17:17:017,true,,,,4.921999931335449,115.61000061035156,90.99999904632568,90.99999904632568,,,
1549905438000,11:17:18:017,true,,,,4.86299991607666,121.27999877929688,90.0,90.0,,,
1549905439000,11:17:19:017,true,,,,4.839000225067139,125.48999786376953,90.0,90.0,,,
1549905440000,11:17:20:017,true,,,,4.8429999351501465,130.36000061035156,90.0,90.0,,,
1549905441000,11:17:21:017,true,,,,4.817999839782715,135.94000244140625,90.0,90.0,,,
1549905442000,11:17:22:017,true,,,,4.763999938964844,140.1300048828125,89.00000095367432,89.00000095367432,,,
1549905443000,11:17:23:017,true,,,,4.784999847412109,144.35000610351563,89.00000095367432,89.00000095367432,,,
1549905444000,11:17:24:017,true,,,,4.809999942779541,149.33999633789063,89.00000095367432,89.00000095367432,,,
1549905445000,11:17:25:017,true,,,,4.881999969482422,154.80999755859375,90.0,90.0,,,
1549905446000,11:17:26:017,true,,,,4.928999900817871,159.0500030517578,91.99999809265137,91.99999809265137,,,
1549905447000,11:17:27:017,true,,,,4.900000095367432,164.1300048828125,90.99999904632568,90.99999904632568,,,
1549905448000,11:17:28:017,true,,,,4.85699987411499,169.5,90.99999904632568,90.99999904632568,,,
1549905449000,11:17:29:017,true,,,,4.8470001220703125,174.0500030517578,90.0,90.0,,,
1549905450000,11:17:30:017,true,,,,4.835000038146973,178.86000061035156,89.00000095367432,89.00000095367432,,,
1549905451000,11:17:31:017,true,,,,4.843999862670898,183.52000427246094,90.0,90.0,,,
1549905452000,11:17:32:017,true,,,,4.920000076293945,189.3300018310547,91.99999809265137,91.99999809265137,,,
1549905453000,11:17:33:017,true,,,,4.855999946594238,193.50999450683594,90.99999904632568,90.99999904632568,,,
1549905454000,11:17:34:017,true,,,,4.879000186920166,198.22999572753906,90.99999904632568,90.99999904632568,,,
1549905455000,11:17:35:017,true,,,,4.894999980926514,203.97999572753906,90.99999904632568,90.99999904632568,,,
1549905456000,11:17:36:017,true,,,,4.888999938964844,208.17999267578125,90.99999904632568,90.99999904632568,,,
1549905457000,11:17:37:017,true,,,,4.860000133514404,212.3800048828125,90.99999904632568,90.99999904632568,,,
1549905458000,11:17:38:017,true,,,,4.822000026702881,217.17999267578125,90.0,90.0,,,
1549905459000,11:17:39:017,true,,,,4.814000129699707,222.82000732421875,89.00000095367432,89.00000095367432,,,
1549905460000,11:17:40:017,true,,,,4.8470001220703125,227.02000427246094,90.0,90.0,,,
1549905461000,11:17:41:017,true,,,,4.875999927520752,231.9199981689453,90.0,90.0,,,
1549905462000,11:17:42:017,true,,,,4.866000175476074,237.5,90.99999904632568,90.99999904632568,,,
1549905463000,11:17:43:017,true,,,,4.8429999351501465,241.72999572753906,90.0,90.0,,,
1549905464000,11:17:44:017,true,,,,4.822000026702881,246.77000427246094,89.00000095367432,89.00000095367432,,,
1549905465000,11:17:45:017,true,,,,4.8480000495910645,252.1999969482422,90.0,90.0,,,
1549905466000,11:17:46:017,true,,,,4.835999965667725,256.7200012207031,90.0,90.0,,,
1549905467000,11:17:47:017,true,,,,4.84499979019165,261.54998779296875,90.0,90.0,,,
1549905468000,11:17:48:017,true,,,,4.810999870300293,265.75,89.00000095367432,89.00000095367432,,,
1549905469000,11:17:49:017,true,,,,4.796000003814697,270.3399963378906,89.00000095367432,89.00000095367432,,,
1549905470000,11:17:50:017,true,,,,4.843999862670898,276.20001220703125,90.0,90.0,,,
1549905471000,11:17:51:017,true,,,,4.848999977111816,280.4200134277344,90.0,90.0,,,
1549905472000,11:17:52:017,true,,,,4.861999988555908,285.1000061035156,85.99999666213989,85.99999666213989,,,
1549905473000,11:17:53:017,true,,,,5.0960001945495605,290.8599853515625,85.99999666213989,85.99999666213989,,,
1549905474000,11:17:54:017,true,,,,5.297999858856201,295.6199951171875,91.99999809265137,91.99999809265137,,,
1549905475000,11:17:55:017,true,,,,5.361999988555908,301.3299865722656,91.99999809265137,91.99999809265137,,,
1549905476000,11:17:56:017,true,,,,5.317999839782715,306.1199951171875,90.0,90.0,,,
1549905477000,11:17:57:017,true,,,,5.234000205993652,311.7900085449219,90.0,90.0,,,
1549905478000,11:17:58:017,true,,,,5.23799991607666,316.6700134277344,90.0,90.0,,,
1549905479000,11:17:59:017,true,,,,5.250999927520752,322.2799987792969,90.0,90.0,,,
1549905480000,11:18:00:018,true,,,,5.255000114440918,327.2200012207031,90.0,90.0,,,
1549905481000,11:18:01:018,true,,,,5.242000102996826,332.760009765625,90.0,90.0,,,
1549905482000,11:18:02:018,true,,,,5.203999996185303,337.75,89.00000095367432,89.00000095367432,,,
1549905483000,11:18:03:018,true,,,,5.177999973297119,343.2200012207031,89.00000095367432,89.00000095367432,,,
1549905484000,11:18:04:018,true,,,,5.208000183105469,348.260009765625,89.00000095367432,89.00000095367432,,,
1549905485000,11:18:05:018,true,,,,5.22599983215332,354.010009765625,89.00000095367432,89.00000095367432,,,
1549905486000,11:18:06:018,true,,,,5.267000198364258,358.8900146484375,90.0,90.0,,,
1549905487000,11:18:07:018,true,,,,5.303999900817871,363.44000244140625,90.99999904632568,90.99999904632568,,,
1549905488000,11:18:08:018,true,,,,5.333000183105469,369.55999755859375,90.99999904632568,90.99999904632568,,,
1549905489000,11:18:09:018,true,,,,5.333000183105469,374.9200134277344,90.99999904632568,90.99999904632568,,,
1549905490000,11:18:10:018,true,,,,5.28000020980835,380.30999755859375,90.99999904632568,90.99999904632568,,,
1549905491000,11:18:11:018,true,,,,5.214000225067139,386.05999755859375,90.0,90.0,,,
1549905492000,11:18:12:018,true,,,,5.2220001220703125,390.7699890136719,89.00000095367432,89.00000095367432,,,
1549905493000,11:18:13:018,true,,,,5.2779998779296875,396.5,90.0,90.0,,,
1549905494000,11:18:14:018,true,,,,5.224999904632568,401.260009765625,89.00000095367432,89.00000095367432,,,
1549905495000,11:18:15:018,true,,,,5.234000205993652,406.94000244140625,90.0,90.0,,,
1549905496000,11:18:16:018,true,,,,5.25,411.7799987792969,89.00000095367432,89.00000095367432,,,
1549905497000,11:18:17:018,true,,,,5.302999973297119,417.4200134277344,90.0,90.0,,,
1549905498000,11:18:18:018,true,,,,5.311999797821045,422.32000732421875,90.99999904632568,90.99999904632568,,,
1549905499000,11:18:19:018,true,,,,5.255000114440918,427.92999267578125,90.0,90.0,,,
1549905500000,11:18:20:018,true,,,,5.228000164031982,432.8699951171875,89.00000095367432,89.00000095367432,,,
