Timestamp (UNIX time ms),Timestamp,Active (T/F),Latitude (deg),Longitude (deg),Heartrate (bpm),Speed (mps),Distance (m),Crank Cadence (rpm),Run Cadence (steps/min),Elevation (m),Power (watts),
1549991837000,11:17:17:017,true,,,,,,65.00000238418579,65.00000238418579,,,
1549991838000,11:17:18:017,true,,,,3.492000102996826,0.0,65.00000238418579,65.00000238418579,,,
1549991839000,11:17:19:017,true,,,,3.9639999866485596,2.619999885559082,69.99999761581421,69.99999761581421,,,
1549991840000,11:17:20:017,true,,,,4.456999778747559,6.769999980926514,84.99999761581421,84.99999761581421,,,
1549991841000,11:17:21:017,true,,,,4.776000022888184,12.15999984741211,88.00000190734863,88.00000190734863,,,
1549991842000,11:17:22:017,true,,,,4.888000011444092,16.360000610351563,90.0,90.0,,,
1549991843000,11:17:23:017,true,,,,4.923999786376953,21.510000228881836,91.99999809265137,91.99999809265137,,,
1549991844000,11:17:24:017,true,,,,4.9039998054504395,26.790000915527344,90.99999904632568,90.99999904632568,,,
1549991845000,11:17:25:017,true,,,,4.931000232696533,30.950000762939453,91.99999809265137,91.99999809265137,,,
1549991846000,11:17:26:017,true,,,,4.8470001220703125,36.150001525878906,90.0,90.0,,,
1549991847000,11:17:27:017,true,,,,4.752999782562256,41.40999984741211,89.00000095367432,89.00000095367432,,,
1549991848000,11:17:28:017,true,,,,4.755000114440918,45.619998931884766,88.00000190734863,88.00000190734863,,,
1549991849000,11:17:29:017,true,,,,4.836999893188477,50.91999816894531,89.00000095367432,89.00000095367432,,,
1549991850000,11:17:30:017,true,,,,4.867000102996826,56.060001373291016,90.0,90.0,,,
1549991851000,11:17:31:017,true,,,,4.926000118255615,60.290000915527344,90.99999904632568,90.99999904632568,,,
1549991852000,11:17:32:017,true,,,,4.961999893188477,65.68000030517578,91.99999809265137,91.99999809265137,,,
1549991853000,11:17:33:017,true,,,,4.88100004196167,70.69999694824219,91.99999809265137,91.99999809265137,,,
1549991854000,11:17:34:017,true,,,,4.861000061035156,74.9000015258789,90.0,90.0,,,
1549991855000,11:17:35:017,true,,,,4.85699987411499,79.12000274658203,90.0,90.0,,,
1549991856000,11:17:36:017,true,,,,4.826000213623047,84.61000061035156,90.0,90.0,,,
1549991857000,11:17:37:017,true,,,,4.816999912261963,90.13999938964844,89.00000095367432,89.00000095367432,,,
1549991858000,11:17:38:017,true,,,,4.9629998207092285,94.86000061035156,87.00000286102295,87.00000286102295,,,
1549991859000,11:17:39:017,true,,,,5.230999946594238,99.93000030517578,88.00000190734863,88.00000190734863,,,
1549991860000,11:17:40:017,true,,,,5.329999923706055,105.30999755859375,90.99999904632568,90.99999904632568,,,
1549991861000,11:17:41:017,true,,,,5.376999855041504,110.43000030517578,90.99999904632568,90.99999904632568,,,
1549991862000,11:17:42:017,true,,,,5.4070000648498535,115.73999786376953,91.99999809265137,91.99999809265137,,,
1549991863000,11:17:43:017,true,,,,5.388999938964844,120.80999755859375,91.99999809265137,91.99999809265137,,,
1549991864000,11:17:44:017,true,,,,5.322000026702881,126.13999938964844,90.99999904632568,90.99999904632568,,,
1549991865000,11:17:45:017,true,,,,5.285999774932861,131.39999389648438,90.0,90.0,,,
1549991866000,11:17:46:017,true,,,,5.298999786376953,136.6300048828125,90.0,90.0,,,
1549991867000,11:17:47:017,true,,,,5.306000232696533,141.8800048828125,90.0,90.0,,,
1549991868000,11:17:48:017,true,,,,5.334000110626221,147.11000061035156,90.99999904632568,90.99999904632568,,,
1549991869000,11:17:49:017,true,,,,5.322999954223633,152.47999572753906,90.99999904632568,90.99999904632568,,,
1549991870000,11:17:50:017,true,,,,5.314000129699707,158.74000549316406,90.99999904632568,90.99999904632568,,,
1549991871000,11:17:51:017,true,,,,5.302999973297119,163.8300018310547,90.99999904632568,90.99999904632568,,,
1549991872000,11:17:52:017,true,,,,5.438000202178955,168.52999877929688,91.99999809265137,91.99999809265137,,,
1549991873000,11:17:53:017,true,,,,5.633999824523926,174.00999450683594,87.00000286102295,87.00000286102295,,,
1549991874000,11:17:54:017,true,,,,5.650000095367432,180.25999450683594,89.00000095367432,89.00000095367432,,,
1549991875000,11:17:55:017,true,,,,5.620999813079834,185.80999755859375,88.00000190734863,88.00000190734863,,,
1549991876000,11:17:56:017,true,,,,5.742000102996826,190.82000732421875,89.00000095367432,89.00000095367432,,,
1549991877000,11:17:57:017,true,,,,5.784999847412109,197.1199951171875,90.0,90.0,,,
1549991878000,11:17:58:017,true,,,,5.677000045776367,203.36000061035156,89.00000095367432,89.00000095367432,,,
1549991879000,11:17:59:017,true,,,,5.699999809265137,208.74000549316406,89.00000095367432,89.00000095367432,,,
1549991880000,11:18:00:018,true,,,,5.785999774932861,213.88999938964844,90.99999904632568,90.99999904632568,,,
1549991881000,11:18:01:018,true,,,,5.7820000648498535,219.86000061035156,90.99999904632568,90.99999904632568,,,
1549991882000,11:18:02:018,true,,,,5.7270002365112305,226.25,90.0,90.0,,,
1549991883000,11:18:03:018,true,,,,5.743000030517578,231.75999450683594,89.00000095367432,89.00000095367432,,,
1549991884000,11:18:04:018,true,,,,5.815000057220459,236.9600067138672,90.99999904632568,90.99999904632568,,,
1549991885000,11:18:05:018,true,,,,5.822999954223633,243.22999572753906,90.99999904632568,90.99999904632568,,,
1549991886000,11:18:06:018,true,,,,5.767000198364258,249.52999877929688,90.0,90.0,,,
1549991887000,11:18:07:018,true,,,,5.785999774932861,254.75,90.0,90.0,,,
1549991888000,11:18:08:018,true,,,,5.78000020980835,260.05999755859375,90.0,90.0,,,
